pseudo_date,n_treated_pre,n_treated_post,two_sided_treated_support
2023-07-10,200,38,1
2023-07-11,200,38,1
2023-07-12,200,38,1
2023-07-13,200,38,1
2023-07-14,200,38,1
2023-07-17,200,38,1
2023-07-18,200,38,1
2023-07-19,200,38,1
2023-07-20,201,37,1
2023-07-21,201,37,1
2023-07-24,203,35,1
2023-07-25,204,34,1
2023-07-26,204,34,1
2023-07-27,204,34,1
2023-07-28,204,34,1
2023-07-31,205,33,1
2023-08-01,206,32,1
2023-08-02,206,32,1
2023-08-03,206,32,1
2023-08-04,207,31,1
2023-08-07,208,30,1
2023-08-08,209,29,1
2023-08-09,212,26,1
2023-08-10,213,25,1
2023-08-11,213,25,1
2023-08-14,214,24,1
2023-08-15,215,23,1
2023-08-16,216,22,1
2023-08-17,218,20,1
2023-08-18,219,19,1
2023-08-21,220,18,1
2023-08-22,222,16,1
2023-08-23,225,13,1
2023-08-24,226,12,1
2023-08-25,226,12,1
2023-08-28,226,12,1
2023-08-29,226,12,1
2023-08-30,226,12,1
2023-08-31,226,12,1
2023-09-01,228,10,1
2023-09-05,228,10,1
2023-09-06,229,9,1
2023-09-07,229,9,1
2023-09-08,229,9,1
2023-09-11,230,8,1
2023-09-12,230,8,1
2023-09-13,230,8,1
2023-09-14,230,8,1
2023-09-15,230,8,1
2023-09-18,231,7,1
2023-09-19,231,7,1
2023-09-20,231,7,1
2023-09-21,231,7,1
2023-09-22,231,7,1
2023-09-25,231,7,1
2023-09-26,231,7,1
2023-09-27,232,6,1
2023-09-28,235,3,1
2023-09-29,235,3,1
2023-10-02,235,3,1
2023-10-03,236,2,1
2023-10-04,236,2,1
2023-10-05,238,0,0
2023-10-06,238,0,0
