form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,Imperial Petroleum Inc./Marshall Islands,1876581,2023-08-04,edgar/data/1876581/0001193125-23-203973.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-203973,2023-08-04,0001876581,0001328920,,23.1,False,,
SC 13D,"Invesco Commercial Real Estate Finance Trust, Inc.",1976927,2023-09-18,edgar/data/1976927/0001213900-23-077144.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-077144,2023-09-18,0001976927,0001992686,2023-09-05,99.99,False,9.0,13.0
SC 13D,"Invesco Realty, Inc.",1992686,2023-09-18,edgar/data/1992686/0001213900-23-077143.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-077143,2023-09-18,0001976927,0001992686,2023-09-05,0.0,False,9.0,13.0
SC 13D,"Israel Biotech Fund I, L.P.",1652458,2023-09-11,edgar/data/1652458/0001178913-23-003115.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001178913-23-003115,2023-09-11,0001100397,0001652458,2023-09-01,2.59,False,6.0,10.0
SC 13D,JOINT Corp,1612630,2023-08-11,edgar/data/1612630/0000921895-23-001902.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-001902,2023-08-11,0001612630,0001399386,2023-08-11,23.6,False,0.0,0.0
SC 13D,Jushi Holdings Inc.,1909747,2023-09-01,edgar/data/1909747/0001628280-23-031213.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001628280-23-031213,2023-09-01,0001909747,0001455939,2023-02-14,0.0,False,143.0,199.0
SC 13D,KO JOSHUA,1991499,2023-09-05,edgar/data/1991499/0001991499-23-000002.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001991499-23-000002,2023-09-05,0001911545,0001991499,2023-08-03,20.4,False,23.0,33.0
SC 13D,Liu Chengyan,1845160,2023-08-17,edgar/data/1845160/0001193125-23-214541.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-214541,2023-08-17,0001807192,0001845160,,7.9,False,,
SC 13D,Lo Dennis Yuk Ming,1988954,2023-08-07,edgar/data/1988954/0001193125-23-204775.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-204775,2023-08-07,0001876431,0001988954,,9.16,False,,
SC 13D,MATLIN DAVID J,1251956,2023-08-21,edgar/data/1251956/0001193125-23-217070.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-217070,2023-08-21,0001826667,0001251956,,8.2,False,,
SC 13D,MFS HIGH YIELD MUNICIPAL TRUST,809844,2023-07-17,edgar/data/809844/0001504304-23-000019.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001504304-23-000019,2023-07-17,0000809844,0001504304,,4.66,False,,
SC 13D,Madison Technologies Inc.,1318268,2023-09-29,edgar/data/1318268/0001753926-23-001277.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001753926-23-001277,2023-09-29,0001318268,0001699673,2023-09-29,0.0,False,0.0,0.0
SC 13D,Metropolitan Bank Holding Corp.,1476034,2023-08-18,edgar/data/1476034/0001104659-23-093361.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-093361,2023-08-18,0001476034,0001703298,2023-08-15,,False,3.0,3.0
SC 13D,Nano Labs Ltd,1872302,2023-09-22,edgar/data/1872302/0001213900-23-078502.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-078502,2023-09-22,0001872302,0001802732,2023-09-13,36.3,False,7.0,9.0
SC 13D,"National CineMedia, Inc.",1377630,2023-08-16,edgar/data/1377630/0001193125-23-214405.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-214405,2023-08-16,0001377630,0001887451,,27.6,False,,
SC 13D,NewAmsterdam Pharma Co N.V.,1936258,2023-07-07,edgar/data/1936258/0001193125-23-183868.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-183868,2023-07-07,0001936258,0001823747,,8.1,False,,
SC 13D,"PGIM Strategic Investments, Inc.",1972703,2023-07-14,edgar/data/1972703/0001104659-23-081301.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-081301,2023-07-14,0001875084,0001972703,,,False,,
SC 13D,Performance Shipping Inc.,1481241,2023-09-01,edgar/data/1481241/0001140361-23-042410.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-042410,2023-09-01,0001481241,0001992194,2023-03-06,2.59,False,129.0,179.0
SC 13D,"Pine Brook Capital Partners II, L.P.",1556984,2023-09-01,edgar/data/1556984/0001341004-23-000218.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001341004-23-000218,2023-09-01,0001835856,0001556984,2023-08-22,35.3,False,8.0,10.0
SC 13D,Riva Ridge Capital Management LP,1676700,2023-09-27,edgar/data/1676700/0000919574-23-005352.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000919574-23-005352,2023-09-27,0001770141,0001676700,2023-09-22,10.0,False,3.0,5.0
SC 13D,"Rscube Investment, LLC",1989270,2023-08-10,edgar/data/1989270/0001104659-23-089712.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-089712,2023-08-10,0001499717,0001989270,2023-07-31,7.5,False,8.0,10.0
SC 13D,"Runa Capital Fund II, L.P.",1964543,2023-09-11,edgar/data/1964543/0001104659-23-099755.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-099755,2023-09-11,0001964543,0001964543,,,False,,
SC 13D,SCOPIA CAPITAL MANAGEMENT LP,1279150,2023-09-21,edgar/data/1279150/0000921895-23-002203.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-002203,2023-09-21,0000851310,0001279150,2023-09-15,5.1,False,4.0,6.0
SC 13D,"Saba Capital Management, L.P.",1510281,2023-08-02,edgar/data/1510281/0001062993-23-015642.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-015642,2023-08-02,0001177161,0001510281,2023-08-01,10.01,False,1.0,1.0
SC 13D,"Saba Capital Management, L.P.",1510281,2023-09-01,edgar/data/1510281/0001062993-23-017384.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-017384,2023-09-01,0000002230,0001510281,2023-08-31,5.02,False,1.0,1.0
SC 13D,"Saba Capital Management, L.P.",1510281,2023-09-29,edgar/data/1510281/0001062993-23-018592.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-018592,2023-09-29,0001137390,0001510281,2023-09-27,5.12,False,2.0,2.0
SC 13D,Sealy & Smith Foundation,1991262,2023-09-22,edgar/data/1991262/0001193125-23-240427.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-240427,2023-09-22,0001910950,0001991262,,14.8,False,,
