form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,"Cano Health, Inc.",1800682,2024-07-08,edgar/data/1800682/0001193125-24-176171.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-176171,2024-07-08,0001800682,0001642575,,0.04,False,,
SC 13D,"Cano Health, Inc.",1800682,2024-07-08,edgar/data/1800682/0001193125-24-176400.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-176400,2024-07-08,0001800682,0001527166,,6.7,False,,
SC 13D,Cao Yawei,2037783,2024-09-26,edgar/data/2037783/0001493152-24-038297.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-038297,2024-09-26,0002024203,0002037783,2024-09-19,10.9,False,5.0,7.0
SC 13D,Caravelle International Group,1928948,2024-07-18,edgar/data/1928948/0001213900-24-062622.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-062622,2024-07-18,0001928948,0002029746,2024-07-11,35.85,False,5.0,7.0
SC 13D,Chan Yee Kit,2029954,2024-07-25,edgar/data/2029954/0001013762-24-000893.txt,"post (2024Q3-Q4, 5-business-day rule)",0001013762-24-000893,2024-07-25,0001997201,0002029954,2024-07-18,55.74,False,5.0,7.0
SC 13D,Choe Yang Yeat,1948734,2024-08-08,edgar/data/1948734/0001183740-24-000066.txt,"post (2024Q3-Q4, 5-business-day rule)",0001183740-24-000066,2024-08-08,0001602409,0001948734,2019-05-16,13.8,False,1365.0,1911.0
SC 13D,"Cidara Therapeutics, Inc.",1610618,2024-07-25,edgar/data/1610618/0001104659-24-082640.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-082640,2024-07-25,0001610618,0001346824,,,False,,
SC 13D,Core SS LLC,2036285,2024-09-10,edgar/data/2036285/0001437749-24-028910.txt,"post (2024Q3-Q4, 5-business-day rule)",0001437749-24-028910,2024-09-10,0001375195,0002036285,2024-08-21,62.21,False,14.0,20.0
SC 13D,Crypto Co,1688126,2024-07-08,edgar/data/1688126/0001493152-24-026524.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-026524,2024-07-08,0001688126,0001737784,2024-06-28,6.07,False,6.0,10.0
SC 13D,DYNAVAX TECHNOLOGIES CORP,1029142,2024-09-16,edgar/data/1029142/0001193125-24-219592.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-219592,2024-09-16,0001029142,0001856083,,9.56,False,,
SC 13D,"El Puerto de Liverpool, S.A.B. de C.V.",1946901,2024-09-04,edgar/data/1946901/0001193125-24-212653.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-212653,2024-09-04,0000072333,0001946901,2024-08-30,9.6,False,3.0,5.0
SC 13D,"FIREFLY NEUROSCIENCE, INC.",803578,2024-08-19,edgar/data/803578/0001104659-24-090874.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-090874,2024-08-19,0000803578,0002034160,,20.5,False,,
SC 13D,FORWARD AIR CORP,912728,2024-08-14,edgar/data/912728/0001140361-24-037374.txt,"post (2024Q3-Q4, 5-business-day rule)",0001140361-24-037374,2024-08-14,0000912728,0001688282,2024-08-14,2.59,False,0.0,0.0
SC 13D,"First High-School Education Group Co., Ltd.",1786182,2024-08-08,edgar/data/1786182/0001213900-24-066339.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-066339,2024-08-08,0001786182,0001907944,2024-08-02,38.0,False,4.0,6.0
SC 13D,"Five Point Holdings, LLC",1574197,2024-09-27,edgar/data/1574197/0001140361-24-042124.txt,"post (2024Q3-Q4, 5-business-day rule)",0001140361-24-042124,2024-09-27,0001574197,0001105838,,2.59,False,,
SC 13D,GALAPAGOS NV,1421876,2024-08-23,edgar/data/1421876/0001104659-24-092414.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-092414,2024-08-23,0001421876,0001587114,2024-08-19,9.9,False,4.0,4.0
SC 13D,GENERAC HOLDINGS INC.,1474735,2024-08-07,edgar/data/1474735/0001437749-24-025235.txt,"post (2024Q3-Q4, 5-business-day rule)",0001437749-24-025235,2024-08-07,0001866501,0001474735,2024-08-05,17.8,False,2.0,2.0
SC 13D,"GOLD ROCK HOLDINGS, INC.",894501,2024-08-27,edgar/data/894501/0001091818-24-000107.txt,"post (2024Q3-Q4, 5-business-day rule)",0001091818-24-000107,2024-08-27,0000894501,0001994009,2024-08-26,69.3,False,1.0,1.0
SC 13D,Galkin Vladimir,2020621,2024-09-05,edgar/data/2020621/0001376474-24-000494.txt,"post (2024Q3-Q4, 5-business-day rule)",0001376474-24-000494,2024-09-05,0001158463,0002020621,,10.0,False,,
SC 13D,Goodwood Inc.,1297339,2024-09-06,edgar/data/1297339/0001493152-24-035256.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-035256,2024-09-06,0001113423,0001297339,,7.2,False,,
SC 13D,"Guerrilla RF, Inc.",1832487,2024-08-12,edgar/data/1832487/0001437749-24-026101.txt,"post (2024Q3-Q4, 5-business-day rule)",0001437749-24-026101,2024-08-12,0001832487,0002032955,2024-08-05,49.94,False,5.0,7.0
SC 13D,HEALTHY CHOICE WELLNESS CORP.,1948864,2024-09-24,edgar/data/1948864/0001493152-24-038023.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-038023,2024-09-24,0001948864,0001512158,2024-09-17,11.1,False,5.0,7.0
SC 13D,"Heliogen, Inc.",1840292,2024-07-29,edgar/data/1840292/0001731122-24-001152.txt,"post (2024Q3-Q4, 5-business-day rule)",0001731122-24-001152,2024-07-29,0001840292,0001991451,2024-07-29,7.04,False,0.0,0.0
SC 13D,Hercules Capital Management Corp,2026879,2024-07-03,edgar/data/2026879/0001213900-24-059026.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-059026,2024-07-03,0002000410,0002026879,2024-07-01,21.4,False,2.0,2.0
SC 13D,Heritage Group,1350750,2024-07-11,edgar/data/1350750/0001193125-24-177792.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-177792,2024-07-11,0002013745,0001350750,,17.2,False,,
SC 13D,Huang Ming-Chia,2033096,2024-08-12,edgar/data/2033096/0001493152-24-031298.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-031298,2024-08-12,0001991332,0002033096,2024-07-31,11.71,False,8.0,12.0
SC 13D,Hummingbird STAR Trust,2035272,2024-08-30,edgar/data/2035272/0001477932-24-005394.txt,"post (2024Q3-Q4, 5-business-day rule)",0001477932-24-005394,2024-08-30,0001729637,0002035272,2024-07-09,5.2,False,38.0,52.0
SC 13D,INNO HOLDINGS INC.,1961847,2024-09-11,edgar/data/1961847/0001493152-24-035924.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-035924,2024-09-11,0001961847,0002034117,2024-05-31,7.0,False,73.0,103.0
SC 13D,JPMORGAN CHASE & CO,19617,2024-09-12,edgar/data/19617/0000950142-24-002364.txt,"post (2024Q3-Q4, 5-business-day rule)",0000950142-24-002364,2024-09-12,0000084129,0000019617,2024-08-30,18.21,False,9.0,13.0
SC 13D,"KALA BIO, Inc.",1479419,2024-07-08,edgar/data/1479419/0001193125-24-176447.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-176447,2024-07-08,0001479419,0001853723,,9.99,False,,
SC 13D,KELLANOVA,55067,2024-08-20,edgar/data/55067/0001193125-24-203665.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-203665,2024-08-20,0000055067,0001188365,,5.8,False,,
SC 13D,Karbon-X Corp.,1729637,2024-08-30,edgar/data/1729637/0001477932-24-005394.txt,"post (2024Q3-Q4, 5-business-day rule)",0001477932-24-005394,2024-08-30,0001729637,0002035272,2024-07-09,5.2,False,38.0,52.0
SC 13D,Lam Chi Ming,2028403,2024-07-08,edgar/data/2028403/0001493152-24-026441.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-026441,2024-07-08,0001956166,0002028403,,0.0,False,,
SC 13D,Lovesac Co,1701758,2024-07-09,edgar/data/1701758/0001193125-24-176749.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-176749,2024-07-09,0001701758,0001491072,,5.2,False,,
SC 13D,"MBX Biosciences, Inc.",1776111,2024-09-23,edgar/data/1776111/0001072613-24-000721.txt,"post (2024Q3-Q4, 5-business-day rule)",0001072613-24-000721,2024-09-23,0001776111,0001768564,2024-09-16,11.4,False,5.0,7.0
SC 13D,Madeleine Charging B.V.,1961962,2024-08-08,edgar/data/1961962/0001193125-24-197116.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-197116,2024-08-08,0001874474,0001961962,,,False,,
SC 13D,Mangold James E,2037909,2024-09-20,edgar/data/2037909/0000943374-24-000387.txt,"post (2024Q3-Q4, 5-business-day rule)",0000943374-24-000387,2024-09-20,0002013792,0002037909,2024-09-20,7.68,False,0.0,0.0
SC 13D,"Match Group, Inc.",891103,2024-07-15,edgar/data/891103/0000902664-24-004719.txt,"post (2024Q3-Q4, 5-business-day rule)",0000902664-24-004719,2024-07-15,0000891103,0001517137,,6.6,False,,
SC 13D,Multi Ways Holdings Ltd,1941500,2024-08-07,edgar/data/1941500/0001493152-24-030617.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-030617,2024-08-07,0001941500,0001978874,2024-08-01,63.26,False,4.0,6.0
SC 13D,NEW GERMANY FUND INC,858706,2024-09-09,edgar/data/858706/0001062993-24-016317.txt,"post (2024Q3-Q4, 5-business-day rule)",0001062993-24-016317,2024-09-09,0000858706,0001510281,2024-09-06,5.08,False,1.0,3.0
SC 13D,"NEW RITE AID, LLC",84129,2024-09-09,edgar/data/84129/0002033916-24-000006.txt,"post (2024Q3-Q4, 5-business-day rule)",0002033916-24-000006,2024-09-09,0000084129,0001393825,2024-08-30,8.6,False,6.0,10.0
SC 13D,Netcapital Inc.,1414767,2024-08-12,edgar/data/1414767/0001213900-24-067775.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-067775,2024-08-12,0001414767,0002026962,2024-08-09,5.0,False,1.0,3.0
SC 13D,New Providence Acquisition Corp. II,1837929,2024-08-05,edgar/data/1837929/0001213900-24-065216.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-065216,2024-08-05,0001837929,0001837933,2024-07-29,88.7,False,5.0,7.0
SC 13D,ORBIMED ADVISORS LLC,1055951,2024-09-23,edgar/data/1055951/0000947871-24-000770.txt,"post (2024Q3-Q4, 5-business-day rule)",0000947871-24-000770,2024-09-23,0001130598,0001055951,2024-09-16,19.9,False,5.0,7.0
SC 13D,"October 3rd Holdings, LLC",2016262,2024-07-26,edgar/data/2016262/0001493152-24-029319.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-029319,2024-07-26,0001838163,0002016262,,24.4,False,,
SC 13D,"Onconetix, Inc.",1782107,2024-09-26,edgar/data/1782107/0001193125-24-226920.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-226920,2024-09-26,0001782107,0002006260,,32.5,False,,
SC 13D,Panigrahi Bhaskar,2028722,2024-07-18,edgar/data/2028722/0001104659-24-080854.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-080854,2024-07-18,0001895249,0002028722,,,False,,
SC 13D,Pearl Diver Credit Co Inc.,1998043,2024-07-26,edgar/data/1998043/0001437749-24-023649.txt,"post (2024Q3-Q4, 5-business-day rule)",0001437749-24-023649,2024-07-26,0001998043,0001697228,2024-07-19,87.0,False,5.0,7.0
SC 13D,Portillo's Inc.,1871509,2024-08-15,edgar/data/1871509/0000921895-24-001846.txt,"post (2024Q3-Q4, 5-business-day rule)",0000921895-24-001846,2024-08-15,0001871509,0001559771,2024-08-08,7.2,False,5.0,7.0
SC 13D,REZOLVE GROUP Ltd,1920294,2024-08-26,edgar/data/1920294/0001193125-24-207107.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-207107,2024-08-26,0001920294,0002035140,,,False,,
SC 13D,"Rapid7, Inc.",1560327,2024-09-27,edgar/data/1560327/0000902664-24-005639.txt,"post (2024Q3-Q4, 5-business-day rule)",0000902664-24-005639,2024-09-27,0001560327,0001998597,,5.8,False,,
SC 13D,Ruxin Holly,1737784,2024-07-08,edgar/data/1737784/0001493152-24-026524.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-026524,2024-07-08,0001688126,0001737784,2024-06-28,6.07,False,6.0,10.0
SC 13D,SAO PAULO STATE OF,1219208,2024-08-05,edgar/data/1219208/0001292814-24-002966.txt,"post (2024Q3-Q4, 5-business-day rule)",0001292814-24-002966,2024-08-05,0001170858,0001219208,2024-07-18,18.0,False,12.0,18.0
SC 13D,SMX (Security Matters) Public Ltd Co,1940674,2024-08-05,edgar/data/1940674/0001493152-24-030209.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-030209,2024-08-05,0001940674,0002031116,,7.84,False,,
SC 13D,"Saba Capital Management, L.P.",1510281,2024-07-25,edgar/data/1510281/0001062993-24-014083.txt,"post (2024Q3-Q4, 5-business-day rule)",0001062993-24-014083,2024-07-25,0001362481,0001510281,2024-07-19,5.06,False,4.0,6.0
SC 13D,"Saba Capital Management, L.P.",1510281,2024-08-02,edgar/data/1510281/0001062993-24-014350.txt,"post (2024Q3-Q4, 5-business-day rule)",0001062993-24-014350,2024-08-02,0001379400,0001510281,2024-07-29,5.39,False,4.0,4.0
SC 13D,"Saba Capital Management, L.P.",1510281,2024-09-03,edgar/data/1510281/0001062993-24-015985.txt,"post (2024Q3-Q4, 5-business-day rule)",0001062993-24-015985,2024-09-03,0001288795,0001510281,2024-08-28,5.05,False,4.0,6.0
SC 13D,"Saba Capital Management, L.P.",1510281,2024-09-09,edgar/data/1510281/0001062993-24-016317.txt,"post (2024Q3-Q4, 5-business-day rule)",0001062993-24-016317,2024-09-09,0000858706,0001510281,2024-09-06,5.08,False,1.0,3.0
SC 13D,Salmasi Allen,1367633,2024-09-26,edgar/data/1367633/0001213900-24-082049.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-082049,2024-09-26,0001840317,0001367633,2024-09-13,44.6,False,9.0,13.0
SC 13D,Samvardhana Motherson International Ltd.,2039116,2024-09-26,edgar/data/2039116/0001123292-24-000291.txt,"post (2024Q3-Q4, 5-business-day rule)",0001123292-24-000291,2024-09-26,0001843588,0002039116,,10.23,False,,
SC 13D,Santi Christopher,1564870,2024-09-25,edgar/data/1564870/0001493152-24-038047.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-038047,2024-09-25,0001948864,0001564870,2024-09-17,5.95,False,6.0,8.0
SC 13D,Seaport Entertainment Group Inc.,2009684,2024-08-07,edgar/data/2009684/0000930413-24-002266.txt,"post (2024Q3-Q4, 5-business-day rule)",0000930413-24-002266,2024-08-07,0002009684,0001336528,2024-07-31,37.9,False,5.0,7.0
SC 13D,"Sofinnova Venture Partners XI, L.P.",1882303,2024-09-30,edgar/data/1882303/0001104659-24-104494.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-104494,2024-09-30,0001709941,0001882303,2024-09-27,6.5,False,1.0,3.0
SC 13D,Starboard Value LP,1517137,2024-07-15,edgar/data/1517137/0000902664-24-004719.txt,"post (2024Q3-Q4, 5-business-day rule)",0000902664-24-004719,2024-07-15,0000891103,0001517137,,6.6,False,,
SC 13D,TANG CAPITAL MANAGEMENT LLC,1232621,2024-09-12,edgar/data/1232621/0001214659-24-016381.txt,"post (2024Q3-Q4, 5-business-day rule)",0001214659-24-016381,2024-09-12,0001600620,0001232621,2024-09-06,5.1,False,4.0,6.0
SC 13D,TECHPRECISION CORP,1328792,2024-07-02,edgar/data/1328792/0001104659-24-077375.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-077375,2024-07-02,0001328792,0001251565,,2.0,False,,
SC 13D,Tether Holdings Ltd,2025889,2024-08-16,edgar/data/2025889/0001104659-24-090580.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-090580,2024-08-16,0001499505,0002025889,2024-08-09,,False,5.0,7.0
SC 13D,Vaiman Dany,1955467,2024-09-12,edgar/data/1955467/0000912282-24-000646.txt,"post (2024Q3-Q4, 5-business-day rule)",0000912282-24-000646,2024-09-12,0001790169,0001955467,2024-08-14,5.08,False,21.0,29.0
SC 13D,Vista Outdoor Inc.,1616318,2024-07-17,edgar/data/1616318/0000902664-24-004741.txt,"post (2024Q3-Q4, 5-business-day rule)",0000902664-24-004741,2024-07-17,0001616318,0001312908,2024-07-17,9.6,False,0.0,0.0
SC 13D,WYNNEFIELD PARTNERS SMALL CAP VALUE LP I,1251565,2024-07-02,edgar/data/1251565/0001104659-24-077375.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-077375,2024-07-02,0001328792,0001251565,,2.0,False,,
SC 13D,Worldory Sdn Bhd,2034176,2024-09-06,edgar/data/2034176/0001493152-24-035210.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-035210,2024-09-06,0001907425,0002034176,2024-08-27,65.88,False,8.0,10.0
SC 13D,17 Education & Technology Group Inc.,1821468,2024-11-15,edgar/data/1821468/0000950170-24-127386.txt,"post (2024Q3-Q4, 5-business-day rule)",0000950170-24-127386,2024-11-15,0001821468,0001821468,2024-11-13,26.2,False,2.0,2.0
SC 13D,"5AM Ventures VI, L.P.",1753037,2024-10-22,edgar/data/1753037/0001104659-24-110570.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-110570,2024-10-22,0001736730,0001753037,,,False,,
SC 13D,AMERICAN SHARED HOSPITAL SERVICES,744825,2024-11-20,edgar/data/744825/0001185185-24-001162.txt,"post (2024Q3-Q4, 5-business-day rule)",0001185185-24-001162,2024-11-20,0000744825,0001434993,2024-11-20,5.2,False,0.0,0.0
SC 13D,Abu Dhabi Investment Authority,1362558,2024-10-28,edgar/data/1362558/0001011438-24-000504.txt,"post (2024Q3-Q4, 5-business-day rule)",0001011438-24-000504,2024-10-28,0002011498,0001362558,,99.6,False,,
SC 13D,Andretti Acquisition Corp. II,2025341,2024-12-04,edgar/data/2025341/0001213900-24-105618.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-105618,2024-12-04,0002025341,0002032960,2024-09-09,21.0,False,62.0,86.0
SC 13D,"Avista Healthcare Partners III, L.P.",2044866,2024-11-19,edgar/data/2044866/0001193125-24-261721.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-261721,2024-11-19,0001661181,0002044866,,11.6,False,,
SC 13D,"Axil Brands, Inc.",1718500,2024-10-15,edgar/data/1718500/0001520138-24-000357.txt,"post (2024Q3-Q4, 5-business-day rule)",0001520138-24-000357,2024-10-15,0001718500,0001945871,2024-10-14,5.5,False,1.0,1.0
SC 13D,"BEYOND, INC.",1130713,2024-10-28,edgar/data/1130713/0001140361-24-044419.txt,"post (2024Q3-Q4, 5-business-day rule)",0001140361-24-044419,2024-10-28,0001056285,0001130713,2024-10-21,2.59,False,5.0,7.0
SC 13D,"BIOADAPTIVES, INC.",1575142,2024-10-22,edgar/data/1575142/0001640334-24-001554.txt,"post (2024Q3-Q4, 5-business-day rule)",0001640334-24-001554,2024-10-22,0001575142,0002041953,2024-04-18,0.0,False,133.0,187.0
SC 13D,CARVER BANCORP INC,1016178,2024-10-22,edgar/data/1016178/0001104659-24-110637.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-110637,2024-10-22,0001016178,0001914524,2024-10-18,4.7,False,2.0,4.0
SC 13D,CRCM LP,1483234,2024-11-05,edgar/data/1483234/0000898432-24-000868.txt,"post (2024Q3-Q4, 5-business-day rule)",0000898432-24-000868,2024-11-05,0001850906,0001483234,2024-10-30,2.59,False,4.0,6.0
SC 13D,Charlton Aria Acquisition Corp,2024459,2024-10-25,edgar/data/2024459/0001213900-24-090755.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-090755,2024-10-25,0002024459,0002041480,2024-10-23,21.99,False,2.0,2.0
SC 13D,"Chicago Atlantic Loan Portfolio, LLC",2041022,2024-10-11,edgar/data/2041022/0001213900-24-087323.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-087323,2024-10-11,0001843162,0002041022,2024-10-01,69.45,False,8.0,10.0
SC 13D,Curbline Properties Corp.,2027317,2024-10-08,edgar/data/2027317/0001193125-24-234466.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-234466,2024-10-08,0002027317,0001462468,,7.6,False,,
SC 13D,DallasNews Corp,1413898,2024-11-14,edgar/data/1413898/0001193125-24-259013.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-259013,2024-11-14,0001413898,0002041508,,5.05,False,,
SC 13D,"Duckhorn Portfolio, Inc.",1835256,2024-10-11,edgar/data/1835256/0001193125-24-236830.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-236830,2024-10-11,0001835256,0002039174,,3.93,False,,
SC 13D,EARLE DANIEL,1829974,2024-11-14,edgar/data/1829974/0000912282-24-000802.txt,"post (2024Q3-Q4, 5-business-day rule)",0000912282-24-000802,2024-11-14,0002019103,0001829974,2024-11-13,3.15,False,1.0,1.0
SC 13D,ESSA Pharma Inc.,1633932,2024-11-08,edgar/data/1633932/0001214659-24-018630.txt,"post (2024Q3-Q4, 5-business-day rule)",0001214659-24-018630,2024-11-08,0001633932,0001232621,2024-11-01,9.7,False,5.0,7.0
SC 13D,"EXICURE, INC.",1698530,2024-11-29,edgar/data/1698530/0001193125-24-268159.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-268159,2024-11-29,0001698530,0002046701,,16.6,False,,
SC 13D,"Eagle Equity Partners IV, LLC",2041465,2024-10-30,edgar/data/2041465/0001213900-24-092440.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-092440,2024-10-30,0001852207,0002041465,,23.17,False,,
SC 13D,"Enviva, LLC",1592057,2024-12-13,edgar/data/1592057/0001104659-24-128584.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-128584,2024-12-13,0001592057,0002048379,,,False,,
SC 13D,"FIRST SOLAR, INC.",1274494,2024-12-10,edgar/data/1274494/0000950170-24-134827.txt,"post (2024Q3-Q4, 5-business-day rule)",0000950170-24-134827,2024-12-10,0001274494,0001071351,2024-12-06,6.42,False,2.0,4.0
SC 13D,"Five Point Holdings, LLC",1574197,2024-10-23,edgar/data/1574197/0001539497-24-002214.txt,"post (2024Q3-Q4, 5-business-day rule)",0001539497-24-002214,2024-10-23,0001574197,0001588901,2024-10-22,9.0,False,1.0,1.0
SC 13D,Fusion Fuel Green PLC,1819794,2024-12-06,edgar/data/1819794/0001213900-24-106581.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-106581,2024-12-06,0001393781,0001819794,,69.4,False,,
SC 13D,GLYCOMIMETICS INC,1253689,2024-11-04,edgar/data/1253689/0000902664-24-006210.txt,"post (2024Q3-Q4, 5-business-day rule)",0000902664-24-006210,2024-11-04,0001253689,0001535978,2024-10-29,7.9,False,4.0,6.0
SC 13D,Garden Stage Ltd,1954269,2024-10-11,edgar/data/1954269/0001213900-24-087155.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-087155,2024-10-11,0001954269,0002037194,2024-10-10,67.84,False,1.0,1.0
SC 13D,Global Blue Group Holding AG,1799983,2024-12-05,edgar/data/1799983/0001104659-24-125741.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-125741,2024-12-05,0001799983,0002017279,,,False,,
SC 13D,Global Crossing Airlines Group Inc.,1846084,2024-10-21,edgar/data/1846084/0001214659-24-017754.txt,"post (2024Q3-Q4, 5-business-day rule)",0001214659-24-017754,2024-10-21,0001846084,0001325533,2024-10-18,13.3,False,1.0,3.0
SC 13D,HARTE HANKS INC,45919,2024-12-06,edgar/data/45919/0000921895-24-002895.txt,"post (2024Q3-Q4, 5-business-day rule)",0000921895-24-002895,2024-12-06,0000045919,0001380585,2024-12-04,5.6,False,2.0,2.0
SC 13D,"HandsOn Fund 4 I, LLC",1712411,2024-11-25,edgar/data/1712411/0001104659-24-122623.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-122623,2024-11-25,0001620179,0001712411,,37.09,False,,
SC 13D,Highland Vision Holding LTD,2036343,2024-10-15,edgar/data/2036343/0001104659-24-108747.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-108747,2024-10-15,0001781193,0002036343,2024-08-08,30.61,False,48.0,68.0
SC 13D,Horizon Space Acquisition II Corp.,2032950,2024-11-19,edgar/data/2032950/0001929980-24-000563.txt,"post (2024Q3-Q4, 5-business-day rule)",0001929980-24-000563,2024-11-19,0002032950,0002044573,2024-11-12,22.9,False,5.0,7.0
SC 13D,Klein Mark D,1322402,2024-12-04,edgar/data/1322402/0001104659-24-125520.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-125520,2024-12-04,0001509470,0001322402,2024-11-29,5.01,False,3.0,5.0
SC 13D,"LHX Intermediate, LLC",2046915,2024-12-06,edgar/data/2046915/0000950103-24-017408.txt,"post (2024Q3-Q4, 5-business-day rule)",0000950103-24-017408,2024-12-06,0001865506,0002046915,,58.2,False,,
SC 13D,LIQTECH INTERNATIONAL INC,1307579,2024-11-19,edgar/data/1307579/0001781002-24-000055.txt,"post (2024Q3-Q4, 5-business-day rule)",0001781002-24-000055,2024-11-19,0001307579,0001781002,2024-11-12,33.7,False,5.0,7.0
SC 13D,LX Management Co Ltd,2046272,2024-12-03,edgar/data/2046272/0001104659-24-124829.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-124829,2024-12-03,0001779578,0002046272,,49.0,False,,
SC 13D,"Lamb Weston Holdings, Inc.",1679273,2024-10-18,edgar/data/1679273/0000902664-24-005888.txt,"post (2024Q3-Q4, 5-business-day rule)",0000902664-24-005888,2024-10-18,0001679273,0001998597,,5.0,False,,
SC 13D,"Lamb Weston Holdings, Inc.",1679273,2024-10-18,edgar/data/1679273/0001104659-24-109740.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-109740,2024-10-18,0001679273,0000929607,2024-10-11,1.0,False,5.0,7.0
SC 13D,Legendman Investments Ltd,2043607,2024-11-07,edgar/data/2043607/0001753926-24-001826.txt,"post (2024Q3-Q4, 5-business-day rule)",0001753926-24-001826,2024-11-07,0001947210,0002043607,2024-10-23,6.09,False,11.0,15.0
SC 13D,Liu Huan,1991920,2024-10-04,edgar/data/1991920/0001104659-24-106234.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-106234,2024-10-04,0001951667,0001991920,2024-09-30,23.65,False,4.0,4.0
SC 13D,MAYS J W INC,54187,2024-12-09,edgar/data/54187/0001104659-24-126778.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-126778,2024-12-09,0000054187,0001702563,,,False,,
SC 13D,"MGT CAPITAL INVESTMENTS, INC.",1001601,2024-11-08,edgar/data/1001601/0001493152-24-044359.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-044359,2024-11-08,0001001601,0002039927,2024-11-01,63.7,False,5.0,7.0
SC 13D,"Mallard Holdco, LLC",1850753,2024-10-11,edgar/data/1850753/0001193125-24-236789.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-236789,2024-10-11,0001835256,0001850753,,41.72,False,,
SC 13D,Nordicus Partners Corp,1011060,2024-12-10,edgar/data/1011060/0001493152-24-049435.txt,"post (2024Q3-Q4, 5-business-day rule)",0001493152-24-049435,2024-12-10,0001011060,0002046935,2024-11-12,18.29,False,20.0,28.0
SC 13D,ONEOK INC /NEW/,1039684,2024-10-15,edgar/data/1039684/0001213900-24-087890.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-087890,2024-10-15,0001592000,0001039684,2024-10-15,43.4,False,0.0,0.0
