cik,name,event_date,form,accession,route,confirm_detail
0001572334,Virginia National Bankshares Corp,2021-04-01,8-K,0001193125-21-103756,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001576263,"Mirati Therapeutics, Inc.",2023-10-10,8-K,0001193125-23-253090,A,8k-text:merger:3;target:3;acquirer:1;defence:1;via-primary
0001576263,"Mirati Therapeutics, Inc.",2024-01-23,8-K,0001140361-24-003287,A,8k-text:merger:3;target:3;acquirer:1;defence:1;via-primary
0001604950,scPharmaceuticals Inc.,2025-10-07,8-K,0001193125-25-232754,A,8k-text:merger:4;target:4;acquirer:1;defence:1;nonmerger:2;via-primary
0001606698,"ALPINE 4 HOLDINGS, INC.",2021-02-09,8-K,0001096906-21-000295,A,8k-text:merger:1;via-primary
0001611983,Liberty Broadband Corp,2024-11-13,8-K,0001104659-24-117312,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001611983,Liberty Broadband Corp,2025-05-19,8-K,0001104659-25-050220,A,8k-text:merger:3;via-primary
0001634447,"ISUN, INC.",2021-01-05,8-K,0001493152-21-000152,A,8k-text:merger:1;target:3;acquirer:1;via-primary
0001634447,"ISUN, INC.",2021-01-25,8-K,0001493152-21-001739,A,8k-text:merger:3;target:1;acquirer:3;nonmerger:1;via-primary
0001637761,SeaSpine Holdings Corp,2023-01-05,8-K,0001193125-23-001942,A,8k-text:merger:3;target:2;acquirer:2;nonmerger:1;via-primary
0001642380,Insight Molecular Diagnostics Inc.,2021-02-03,8-K,0001493152-21-002461,A,8k-text:merger:3;via-primary
0001648960,"Myseum.AI, Inc.",2022-07-05,8-K,0001213900-22-037213,A,8k-text:merger:3;via-primary
0001648960,"Myseum.AI, Inc.",2024-11-04,8-K,0001213900-24-094213,A,8k-text:merger:1;via-primary
0001660134,"Okta, Inc.",2021-03-03,8-K,0001193125-21-067561,A,8k-text:merger:3;target:3;acquirer:3;nonmerger:1;via-primary
0001673481,Sports Entertainment Gaming Global Corp,2021-05-27,8-K,0001213900-21-029632,A,8k-text:merger:1;via-primary
0001674227,SCWorx Corp.,2023-12-26,8-K,0001213900-23-098568,A,8k-text:merger:3;via-primary
0001691337,PCSB Financial Corp,2022-05-24,8-K,0000950170-22-010585,A,8k-text:merger:3;via-primary
0001693256,"Select Water Solutions, Inc.",2021-12-13,8-K,0001193125-21-354782,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001718108,"Surface Oncology, Inc.",2023-09-08,8-K,0001193125-23-231197,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001720725,"Oyster Point Pharma, Inc.",2022-11-08,8-K,0001193125-22-280282,A,8k-text:merger:4;target:4;acquirer:1;via-primary
0001720725,"Oyster Point Pharma, Inc.",2023-01-03,8-K,0001193125-23-000324,A,8k-text:merger:4;target:3;acquirer:2;nonmerger:1;via-primary
0001726711,"Aditxt, Inc.",2024-01-05,8-K,0001213900-24-001538,A,8k-text:merger:3;via-primary
0001726711,"Aditxt, Inc.",2024-02-06,8-K,0001213900-24-010576,A,8k-text:merger:3;via-primary
0001726711,"Aditxt, Inc.",2024-02-21,8-K,0001213900-24-015781,A,8k-text:merger:1;via-primary
0001726711,"Aditxt, Inc.",2024-02-29,8-K,0001213900-24-018477,A,8k-text:merger:3;via-primary
0001726711,"Aditxt, Inc.",2025-04-09,8-K,0001213900-25-030353,A,8k-text:merger:1;via-primary
0001726711,"Aditxt, Inc.",2025-04-15,8-K,0001213900-25-032119,A,8k-text:merger:2;via-primary
0001726711,"Aditxt, Inc.",2026-06-10,8-K,0001213900-26-067421,A,8k-text:merger:1;via-primary
0001777835,Perella Weinberg Partners,2024-04-01,8-K,0001777835-24-000059,A,8k-text:merger:3;via-primary
0001794669,"Shift4 Payments, Inc.",2023-10-26,8-K,0001193125-23-263590,A,8k-text:merger:3;via-primary
0001794669,"Shift4 Payments, Inc.",2025-03-21,SC TO-T,0001193125-25-059711,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001794905,"Cyxtera Technologies, Inc.",2021-02-22,8-K,0001104659-21-025980,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
0001796129,"Vincerx Pharma, Inc.",2025-02-06,8-K,0001193125-25-021771,A,8k-text:merger:1;via-primary
0001796129,"Vincerx Pharma, Inc.",2025-03-18,8-K,0001193125-25-056229,A,8k-text:merger:2;target:1;acquirer:1;via-primary
0001801777,Applied Molecular Transport Inc.,2023-09-21,8-K,0001193125-23-239684,A,8k-text:merger:3;via-primary
0001801777,Applied Molecular Transport Inc.,2023-12-27,8-K,0001437749-23-035381,A,8k-text:merger:3;via-primary
0001814140,"Apexigen, Inc.",2022-03-18,8-K,0001193125-22-078891,A,8k-text:merger:1;target:4;acquirer:1;defence:1;via-primary
0001814140,"Apexigen, Inc.",2022-08-04,8-K,0001193125-22-212570,A,8k-text:merger:1;target:1;acquirer:2;defence:1;via-primary
0001814140,"Apexigen, Inc.",2023-05-24,8-K,0001193125-23-152387,A,8k-text:merger:3;target:4;acquirer:1;via-primary
0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2021-08-10,8-K,0001823239-21-000018,A,8k-text:merger:2;via-primary
0001823383,Globis Acquisition Corp.,2022-01-24,8-K,0001493152-22-002118,A,8k-text:merger:1;via-primary
0001823383,Globis Acquisition Corp.,2022-01-31,8-K,0001493152-22-002657,A,8k-text:merger:1;via-primary
0001823383,Globis Acquisition Corp.,2022-06-09,8-K,0001493152-22-016232,A,8k-text:merger:2;target:1;acquirer:2;via-primary
0001823383,Globis Acquisition Corp.,2022-06-10,8-K,0001493152-22-016381,A,8k-text:merger:1;target:3;acquirer:1;via-primary
0001826671,KLUDEIN I ACQUISITION CORP,2022-11-25,8-K,0001213900-22-075258,A,8k-text:merger:2;via-primary
0001829322,Sizzle Acquisition Corp.,2023-01-05,8-K,0001213900-23-000987,A,8k-text:merger:3;via-primary
0001829322,Sizzle Acquisition Corp.,2023-07-07,8-K,0001213900-23-055511,A,8k-text:merger:3;via-primary
0001829322,Sizzle Acquisition Corp.,2023-10-27,8-K,0001013762-23-007325,A,8k-text:merger:3;via-primary
0001829322,Sizzle Acquisition Corp.,2023-11-21,8-K,0001213900-23-089115,A,8k-text:merger:3;via-primary
0001829322,Sizzle Acquisition Corp.,2024-02-08,8-K,0001213900-24-011356,A,8k-text:merger:4;via-primary
0001829322,Sizzle Acquisition Corp.,2024-03-04,8-K,0001213900-24-019580,A,8k-text:merger:3;target:3;acquirer:1;nonmerger:1;via-primary
0001832415,"Better Therapeutics, Inc.",2021-09-01,8-K,0001104659-21-112065,A,8k-text:merger:3;via-primary
0001832415,"Better Therapeutics, Inc.",2021-09-28,8-K,0001104659-21-120307,A,8k-text:merger:3;via-primary
0001835378,Innovid Corp.,2021-06-24,8-K,0001213900-21-033906,A,8k-text:merger:4;target:1;acquirer:2;defence:1;nonmerger:1;via-primary
0001835378,Innovid Corp.,2021-10-20,8-K,0001213900-21-053648,A,8k-text:merger:4;target:1;acquirer:1;via-primary
0001837686,"Vimeo, Inc.",2021-05-27,8-K,0001104659-21-073207,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001837686,"Vimeo, Inc.",2025-11-24,8-K,0001104659-25-115501,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0001841873,Khosla Ventures Acquisition Co.,2021-07-30,8-K,0001193125-21-231615,A,8k-text:merger:3;via-primary
0001841873,Khosla Ventures Acquisition Co.,2021-09-22,8-K,0001193125-21-279485,A,8k-text:merger:3;via-primary
0001841873,Khosla Ventures Acquisition Co.,2021-11-09,8-K,0001193125-21-324638,A,8k-text:merger:3;via-primary
0001921865,ASP Isotopes Inc.,2026-06-25,8-K,0001477932-26-004020,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
