permno,cik,td,treated_permno,treated_accession,match_group,extraction_status,window_coverage,bid12,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,n_bid_events,filer_own_bid,ambiguous,n_ambiguous_events,excluded_prior_bid,prior_bid_any,prior_bid_last_date
79249,0000902791,2024-03-25,21927,0001140361-24-017051,0001140361-24-017051,ok,full,0.0,,,,,0,0,0,0,0,0,
79248,0000903129,2021-12-28,92570,0001539497-22-000021,0001539497-22-000021,ok,full,0.0,,,,,0,0,0,0,0,0,
80539,0000906709,2024-03-06,13798,0001213900-24-025263,0001213900-24-025263,ok,full,0.0,,,,,0,0,0,0,0,0,
78664,0000910638,2022-02-22,88174,0001193805-22-000401,0001193805-22-000401,ok,full,0.0,,,,,0,0,0,0,0,0,
79702,0000911216,2023-08-21,22562,0001068238-23-000182,0001068238-23-000182,ok,full,0.0,,,,,0,0,0,0,0,0,
79702,0000911216,2024-12-13,15433,0001437749-24-038167,0001437749-24-038167,ok,full,0.0,,,,,0,0,0,0,0,0,
81728,0000912061,2024-06-26,61487,0001104659-24-075608,0001104659-24-075608,ok,full,0.0,,,,,0,0,0,0,0,0,
79881,0000912615,2024-04-22,57817,0001104659-24-051481,0001104659-24-051481,ok,full,0.0,,,,,0,0,0,0,0,0,
86092,0000913277,2022-05-19,17043,0001140361-22-021048,0001140361-22-021048,ok,full,0.0,,,,,0,0,0,0,0,0,
85725,0000913341,2024-02-28,89573,0001493152-24-008886,0001493152-24-008886,ok,full,0.0,,,,,0,0,0,0,0,0,
81254,0000913760,2023-02-09,15540,0001213900-23-009764,0001213900-23-009764,ok,full,0.0,,,,,0,0,0,0,0,0,
76052,0000914122,2022-04-01,83910,0001213900-22-018462,0001213900-22-018462,ok,full,0.0,,,,,0,0,0,0,0,0,
80050,0000914156,2022-04-20,13878,0000921895-22-001398,0000921895-22-001398,ok,full,0.0,,,,,0,0,0,0,0,0,
80050,0000914156,2022-09-23,78876,0001214659-22-011485,0001214659-22-011485,ok,full,0.0,,,,,0,0,0,0,0,0,
